INFO:db_updater:Обновление начинается 
INFO:db_updater:Установка соединения с удаленным сервером
INFO:paramiko.transport:Connected (version 2.0, client OpenSSH_6.0p1)
INFO:paramiko.transport:Authentication (publickey) successful!
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2520.html' 4988/4988
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7214.html' 0/7100
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7214.html' 7100/7100
INFO:db_updater:=> b'documents/prim_tnved_2018/2_10.html' 0/8587
INFO:db_updater:=> b'documents/prim_tnved_2018/2_10.html' 8587/8587
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1501.html' 0/6155
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1501.html' 6155/6155
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9021.html' 0/28333
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9021.html' 28333/28333
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3507.html' 0/19170
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3507.html' 19170/19170
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0106.html' 0/12345
INFO:db_updater:=> b'documents/prim_tnved_2018/1_0106.html' 12345/12345
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9207.html' 0/12358
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9207.html' 12358/12358
INFO:db_updater:=> b'documents/prim_tnved_2018/12_67.html' 0/2544
INFO:db_updater:=> b'documents/prim_tnved_2018/12_67.html' 2544/2544
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2208.html' 0/23355
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2208.html' 23355/23355
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8471.html' 0/36103
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8471.html' 36103/36103
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8462.html' 0/17812
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8462.html' 17812/17812
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2209.html' 0/4460
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2209.html' 4460/4460
INFO:db_updater:=> b'documents/prim_tnved_2018/12_6406.html' 0/8967
INFO:db_updater:=> b'documents/prim_tnved_2018/12_6406.html' 8967/8967
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3101.html' 0/5985
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3101.html' 5985/5985
INFO:db_updater:=> b'documents/prim_tnved_2018/6_30.html' 0/11022
INFO:db_updater:=> b'documents/prim_tnved_2018/6_30.html' 11022/11022
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5508.html' 0/1212
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5508.html' 1212/1212
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5904.html' 0/4537
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5904.html' 4537/4537
INFO:db_updater:=> b'documents/prim_tnved_2018/10_4803.html' 0/5894
INFO:db_updater:=> b'documents/prim_tnved_2018/10_4803.html' 5894/5894
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8540.html' 0/11734
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8540.html' 11734/11734
INFO:db_updater:=> b'documents/prim_tnved_2018/8_4304.html' 0/2110
INFO:db_updater:=> b'documents/prim_tnved_2018/8_4304.html' 2110/2110
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8468.html' 0/11652
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8468.html' 11652/11652
INFO:db_updater:=> b'documents/prim_tnved_2018/8_4106.html' 0/5432
INFO:db_updater:=> b'documents/prim_tnved_2018/8_4106.html' 5432/5432
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3306.html' 0/2344
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3306.html' 2344/2344
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9607.html' 0/1267
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9607.html' 1267/1267
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9026.html' 0/16802
INFO:db_updater:=> b'documents/prim_tnved_2018/18_9026.html' 16802/16802
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6805.html' 0/3435
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6805.html' 3435/3435
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8436.html' 0/15508
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8436.html' 15508/15508
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1701.html' 0/8296
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1701.html' 8296/8296
INFO:db_updater:=> b'documents/prim_tnved_2018/17_8715.html' 0/1755
INFO:db_updater:=> b'documents/prim_tnved_2018/17_8715.html' 1755/1755
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6303.html' 0/2111
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6303.html' 2111/2111
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1403.html' 0/23
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1403.html' 23/23
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3403.html' 0/14134
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3403.html' 14134/14134
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6802.html' 0/14598
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6802.html' 14598/14598
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3924.html' 0/5213
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3924.html' 5213/5213
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3601.html' 0/5950
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3601.html' 5950/5950
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3922.html' 0/2479
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3922.html' 2479/2479
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2303.html' 0/12003
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2303.html' 12003/12003
